Ticker,Name,Sector,Location,Currency,Exchange
135,KUNLUN ENERGY LTD,Utilities,China,USD,Hong Kong Exchanges And Clearing Ltd
TEMN,TEMENOS AG,Information Technology,Switzerland,USD,SIX Swiss Exchange
TIINDIA,TUBE INVESTMENTS OF INDIA LTD,Consumer Discretionary,India,USD,National Stock Exchange Of India
8952,JAPAN REAL ESTATE INVESTMENT TRUST,Real Estate,Japan,USD,Tokyo Stock Exchange
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,Industrials,Mexico,USD,Bolsa Mexicana De Valores
DNP,DINO POLSKA SA,Consumer Staples,Poland,USD,Warsaw Stock Exchange/Equities/Main Market
ELISA,ELISA,Communication,Finland,USD,Nasdaq Omx Helsinki Ltd.
BVT,BIDVEST GROUP LTD,Industrials,South Africa,USD,Johannesburg Stock Exchange
4904,FAR EASTONE TELECOMMUNICATIONS LTD,Communication,Taiwan,USD,Taiwan Stock Exchange
CUMMINSIND,CUMMINS INDIA LTD,Industrials,India,USD,National Stock Exchange Of India
LOTB,LOTUS BAKERIES NV,Consumer Staples,Belgium,USD,Nyse Euronext - Euronext Brussels
2594,BYD LTD A,Consumer Discretionary,China,USD,Shenzhen Stock Exchange
KESKOB,KESKO CLASS B,Consumer Staples,Finland,USD,Nasdaq Omx Helsinki Ltd.
KBX,KNORR BREMSE AG,Industrials,Germany,USD,Xetra
PFBCOLOM,BANCOLOMBIA PREF SA,Financials,Colombia,USD,Bolsa De Valores De Colombia
VIPS,VIPSHOP HOLDINGS SPONSORED ADS REP,Consumer Discretionary,China,USD,New York Stock Exchange Inc.
2897,NISSIN FOODS HOLDINGS LTD,Consumer Staples,Japan,USD,Tokyo Stock Exchange
EVD,CTS EVENTIM AG,Communication,Germany,USD,Xetra
DINO,HF SINCLAIR CORP,Energy,United States,USD,New York Stock Exchange Inc.
1997,WHARF REAL ESTATE INVESTMENT COMPA,Real Estate,Hong Kong,USD,Hong Kong Exchanges And Clearing Ltd
IPN,IPSEN SA,Health Care,France,USD,Nyse Euronext - Euronext Paris
GFINBURO,GRUPO FINANCIERO INBURSA SRIES O,Financials,Mexico,USD,Bolsa Mexicana De Valores
6465,HOSHIZAKI CORP,Industrials,Japan,USD,Tokyo Stock Exchange
RADL3,RAIA DROGASIL,Consumer Staples,Brazil,USD,XBSP
BMW3,BMW PREF AG,Consumer Discretionary,Germany,USD,Xetra
PSN,PERSIMMON PLC,Consumer Discretionary,United Kingdom,USD,London Stock Exchange
AM,DASSAULT AVIATION SA,Industrials,France,USD,Nyse Euronext - Euronext Paris
3092,ZOZO INC,Consumer Discretionary,Japan,USD,Tokyo Stock Exchange
1177,SINO BIOPHARMACEUTICAL LTD,Health Care,China,USD,Hong Kong Exchanges And Clearing Ltd
ORNBV,ORION CLASS B,Health Care,Finland,USD,Nasdaq Omx Helsinki Ltd.
NESTE,NESTE,Energy,Finland,USD,Nasdaq Omx Helsinki Ltd.
ICT,INTERNATIONAL CONTAINER TERMINAL S,Industrials,Philippines,USD,Philippine Stock Exchange Inc.
6618,JD HEALTH INTERNATIONAL INC,Consumer Staples,China,USD,Hong Kong Exchanges And Clearing Ltd
YAR,YARA INTERNATIONAL,Materials,Norway,USD,Oslo Bors Asa
1080,ARAB NATIONAL BANK,Financials,Saudi Arabia,USD,Saudi Stock Exchange
1301,FORMOSA PLASTICS CORP,Materials,Taiwan,USD,Taiwan Stock Exchange
9435,HIKARI TSUSHIN INC,Industrials,Japan,USD,Tokyo Stock Exchange
GODREJCP,GODREJ CONSUMER PRODUCTS LTD,Consumer Staples,India,USD,National Stock Exchange Of India
SGH,SGH LTD,Industrials,Australia,USD,Asx - All Markets
GFC,GECINA SA,Real Estate,France,USD,Nyse Euronext - Euronext Paris
EMSN,EMS-CHEMIE HOLDING AG,Materials,Switzerland,USD,SIX Swiss Exchange
BBNI,BANK NEGARA INDONESIA,Financials,Indonesia,USD,Indonesia Stock Exchange
2601,CHINA PACIFIC INSURANCE (GROUP) LT,Financials,China,USD,Hong Kong Exchanges And Clearing Ltd
AUROPHARMA,AUROBINDO PHARMA LTD,Health Care,India,USD,National Stock Exchange Of India
1339,THE PEOPLES INSURANCE CO (GROUP),Financials,China,USD,Hong Kong Exchanges And Clearing Ltd
KGH,KGHM POLSKA MIEDZ SA,Materials,Poland,USD,Warsaw Stock Exchange/Equities/Main Market
601328,BANK OF COMMUNICATIONS LTD A,Financials,China,USD,Shanghai Stock Exchange
LI,KLEPIERRE REIT SA,Real Estate,France,USD,Nyse Euronext - Euronext Paris
LPP,LPP SA,Consumer Discretionary,Poland,USD,Warsaw Stock Exchange/Equities/Main Market
ICL,ICL GROUP LTD,Materials,Israel,USD,Tel Aviv Stock Exchange
RAA,RATIONAL AG,Industrials,Germany,USD,Xetra
6030,CITIC SECURITIES COMPANY LTD H,Financials,China,USD,Hong Kong Exchanges And Clearing Ltd
SAGA B,SAGAX CLASS B,Real Estate,Sweden,USD,Nasdaq Omx Nordic
6409,VOLTRONIC POWER TECHNOLOGY CORP,Industrials,Taiwan,USD,Taiwan Stock Exchange
SYENS,SYENSQO NV,Materials,Belgium,USD,Nyse Euronext - Euronext Brussels
96770,SK INNOVATION LTD,Energy,Korea (South),USD,Korea Exchange (Stock Market)
1303,NAN YA PLASTICS CORP,Materials,Taiwan,USD,Taiwan Stock Exchange
3088,MATSUKIYOKARA,Consumer Staples,Japan,USD,Tokyo Stock Exchange
6862,HAIDILAO INTERNATIONAL HOLDING LTD,Consumer Discretionary,China,USD,Hong Kong Exchanges And Clearing Ltd
CHILE,BANCO DE CHILE,Financials,Chile,USD,Santiago Stock Exchange
ADANIPOWER,ADANI POWER LTD,Utilities,India,USD,National Stock Exchange Of India
9501,TOKYO ELECTRIC POWER HOLDINGS INC,Utilities,Japan,USD,Tokyo Stock Exchange
PMETAL,PRESS METAL ALUMINIUM HOLDINGS,Materials,Malaysia,USD,Bursa Malaysia
2376,GIGABYTE TECHNOLOGY LTD,Information Technology,Taiwan,USD,Taiwan Stock Exchange
2377,MICRO-STAR INTERNATIONAL LTD,Information Technology,Taiwan,USD,Taiwan Stock Exchange
601088,CHINA SHENHUA ENERGY LTD A,Energy,China,USD,Shanghai Stock Exchange
ETE,NATIONAL BANK OF GREECE SA,Financials,Greece,USD,Athens Exchange S.A. Cash Market
BPI,BANK OF THE PHILIPPINE ISLANDS,Financials,Philippines,USD,Philippine Stock Exchange Inc.
THYAO.E,TURK HAVA YOLLARI AO A,Industrials,Turkey,USD,Istanbul Stock Exchange
IMP,IMPALA PLATINUM LTD,Materials,South Africa,USD,Johannesburg Stock Exchange
3659,NEXON LTD,Communication,Japan,USD,Tokyo Stock Exchange
9719,SCSK CORP,Information Technology,Japan,USD,Tokyo Stock Exchange
CLS,CLICKS GROUP LTD,Consumer Staples,South Africa,USD,Johannesburg Stock Exchange
XP,XP CLASS A INC,Financials,Brazil,USD,NASDAQ
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LTD,Financials,India,USD,National Stock Exchange Of India
RAND,RANDSTAD HOLDING,Industrials,Netherlands,USD,Euronext Amsterdam
5871,CHAILEASE HOLDING LTD,Financials,Taiwan,USD,Taiwan Stock Exchange
CRDA,CRODA INTERNATIONAL PLC,Materials,United Kingdom,USD,London Stock Exchange
CMIG4,CIA ENERGETICA DE MINAS GERAIS PRE,Utilities,Brazil,USD,XBSP
SCC.R,SIAM CEMENT NON-VOTING DR PCL,Materials,Thailand,USD,Stock Exchange Of Thailand
1308,SITC INTERNATIONAL HOLDINGS LTD,Industrials,Hong Kong,USD,Hong Kong Exchanges And Clearing Ltd
MARICO,MARICO LTD,Consumer Staples,India,USD,National Stock Exchange Of India
G13,GENTING SINGAPORE LTD,Consumer Discretionary,Singapore,USD,Singapore Exchange
86520,ECOPRO LTD,Industrials,Korea (South),USD,Korea Exchange (Kosdaq)
GGBR4,GERDAU PREF SA,Materials,Brazil,USD,XBSP
6448,BROTHER INDUSTRIES LTD,Information Technology,Japan,USD,Tokyo Stock Exchange
BBSE3,BB SEGURIDADE SA,Financials,Brazil,USD,XBSP
601288,AGRICULTURAL BANK OF CHINA LTD A,Financials,China,USD,Shanghai Stock Exchange
1038,CHEUNG KONG INFRASTRUCTURE HOLDING,Utilities,Hong Kong,USD,Hong Kong Exchanges And Clearing Ltd
9150,SAMSUNG ELECTRO MECHANICS LTD,Information Technology,Korea (South),USD,Korea Exchange (Stock Market)
BIM,BIOMERIEUX SA,Health Care,France,USD,Nyse Euronext - Euronext Paris
1193,CHINA RESOURCES GAS GROUP LTD,Utilities,China,USD,Hong Kong Exchanges And Clearing Ltd
6823,HKT TRUST AND HKT UNITS LTD,Communication,Hong Kong,USD,Hong Kong Exchanges And Clearing Ltd
MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONA,Consumer Discretionary,India,USD,National Stock Exchange Of India
AMBUJACEM,AMBUJA CEMENTS LTD,Materials,India,USD,National Stock Exchange Of India
780,TONGCHENG TRAVEL HOLDINGS LTD,Consumer Discretionary,China,USD,Hong Kong Exchanges And Clearing Ltd
SRF,SRF LTD,Materials,India,USD,National Stock Exchange Of India
IOC,INDIAN OIL CORP LTD,Energy,India,USD,National Stock Exchange Of India
BARN,BARRY CALLEBAUT AG,Consumer Staples,Switzerland,USD,SIX Swiss Exchange
SM,SM INVESTMENTS CORP,Industrials,Philippines,USD,Philippine Stock Exchange Inc.
ADANIENT,ADANI ENTERPRISES LTD,Industrials,India,USD,National Stock Exchange Of India
BHARATFORG,BHARAT FORGE LTD,Consumer Discretionary,India,USD,National Stock Exchange Of India
3003,HULIC LTD,Real Estate,Japan,USD,Tokyo Stock Exchange
2356,INVENTEC CORP,Information Technology,Taiwan,USD,Taiwan Stock Exchange
8210,BUPA ARABIA,Financials,Saudi Arabia,USD,Saudi Stock Exchange
SPL,SANTANDER BANK POLSKA SA,Financials,Poland,USD,Warsaw Stock Exchange/Equities/Main Market
U96,SEMBCORP INDUSTRIES LTD,Utilities,Singapore,USD,Singapore Exchange
100,YUHAN CORP,Health Care,Korea (South),USD,Korea Exchange (Stock Market)
CBQK,COMMERCIAL BANK OF QATAR,Financials,Qatar,USD,Qatar Exchange
CPR,DAVIDE CAMPARI MILANO NV,Consumer Staples,Italy,USD,Borsa Italiana
1878,DAITO TRUST CONSTRUCTION LTD,Real Estate,Japan,USD,Tokyo Stock Exchange
2269,MEIJI HOLDINGS LTD,Consumer Staples,Japan,USD,Tokyo Stock Exchange
601398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,China,USD,Shanghai Stock Exchange
4528,ONO PHARMACEUTICAL LTD,Health Care,Japan,USD,Tokyo Stock Exchange
AMRT,PT SUMBER ALFARIA TRIJAYA,Consumer Staples,Indonesia,USD,Indonesia Stock Exchange
WDP,WAREHOUSES DE PAUW NV,Real Estate,Belgium,USD,Nyse Euronext - Euronext Brussels
LHA,DEUTSCHE LUFTHANSA AG,Industrials,Germany,USD,Xetra
RHC,RAMSAY HEALTH CARE LTD,Health Care,Australia,USD,Asx - All Markets
1766,CRRC CORP LTD H,Industrials,China,USD,Hong Kong Exchanges And Clearing Ltd
3311,CHINA STATE CONSTRUCTION INTERNATI,Industrials,China,USD,Hong Kong Exchanges And Clearing Ltd
PRIO3,PETRO RIO SA,Energy,Brazil,USD,XBSP
2018,AAC TECHNOLOGIES HOLDINGS INC,Information Technology,China,USD,Hong Kong Exchanges And Clearing Ltd
GODREJPROP,GODREJ PROPERTIES LTD,Real Estate,India,USD,National Stock Exchange Of India
COLPAL,COLGATE PALMOLIVE INDIA LTD,Consumer Staples,India,USD,National Stock Exchange Of India
TAL,TAL EDUCATION GROUP ADR REPTG,Consumer Discretionary,China,USD,New York Stock Exchange Inc.
PIIND,P.I. INDUSTRIES LTD,Materials,India,USD,National Stock Exchange Of India
QGTS,QATAR GAS TRANSPORT COMPANY LTD,Energy,Qatar,USD,Qatar Exchange
INDUSTOWER,INDUS TOWERS LTD,Communication,India,USD,National Stock Exchange Of India
ALPHA,ALPHA SERVICES AND HOLDINGS SA,Financials,Greece,USD,Athens Exchange S.A. Cash Market
300760,SHENZHEN MINDRAY BIO-MEDICAL ELECT,Health Care,China,USD,Shenzhen Stock Exchange
9626,BILIBILI INC,Communication,China,USD,Hong Kong Exchanges And Clearing Ltd
2324,COMPAL ELECTRONICS INC,Information Technology,Taiwan,USD,Taiwan Stock Exchange
3481,INNOLUX CORP,Information Technology,Taiwan,USD,Taiwan Stock Exchange
TUPRS.E,TURKIYE PETROL RAFINERILERI A,Energy,Turkey,USD,Istanbul Stock Exchange
15760,KOREA ELECTRIC POWER CORP,Utilities,Korea (South),USD,Korea Exchange (Stock Market)
RENT3,LOCALIZA RENT A CAR SA,Industrials,Brazil,USD,XBSP
COMI,COMMERCIAL INTERNATIONAL BANK EGYP,Financials,Egypt,USD,Egyptian Exchange
2618,EVA AIRWAYS CORP,Industrials,Taiwan,USD,Taiwan Stock Exchange
3993,CMOC GROUP LTD,Materials,China,USD,Hong Kong Exchanges And Clearing Ltd
PAGEIND,PAGE INDUSTRIES LTD,Consumer Discretionary,India,USD,National Stock Exchange Of India
EMP.A,EMPIRE LTD CLASS A,Consumer Staples,Canada,USD,Toronto Stock Exchange
5831,SHIZUOKA FINANCIAL GROUP INC,Financials,Japan,USD,Tokyo Stock Exchange
QFIN,QIFU TECHNOLOGY ADR INC,Financials,China,USD,NASDAQ
IHH,IHH HEALTHCARE,Health Care,Malaysia,USD,Bursa Malaysia
5110,SAUDI ELECTRICITY,Utilities,Saudi Arabia,USD,Saudi Stock Exchange
RAIL3,RUMO SA,Industrials,Brazil,USD,XBSP
600276,JIANGSU HENGRUI MEDICINE LTD A,Health Care,China,USD,Shanghai Stock Exchange
1476,ECLAT TEXTILE LTD,Consumer Discretionary,Taiwan,USD,Taiwan Stock Exchange
YESBANK,YES BANK LTD,Financials,India,USD,National Stock Exchange Of India
MARK,MASRAF AL RAYAN,Financials,Qatar,USD,Qatar Exchange
GCARSOA1,GRUPO CARSO SERIES A1,Industrials,Mexico,USD,Bolsa Mexicana De Valores
5347,VANGUARD INTERNATIONAL SEMICONDUCT,Information Technology,Taiwan,USD,Gretai Securities Market
POLYCAB,POLYCAB INDIA LTD,Industrials,India,USD,National Stock Exchange Of India
HL.,HARGREAVES LANSDOWN PLC,Financials,United Kingdom,USD,London Stock Exchange
ALI,AYALA LAND INC,Real Estate,Philippines,USD,Philippine Stock Exchange Inc.
1378,CHINA HONGQIAO GROUP LTD,Materials,China,USD,Hong Kong Exchanges And Clearing Ltd
REH,REECE LTD,Industrials,Australia,USD,Asx - All Markets
RXL,REXEL SA,Industrials,France,USD,Nyse Euronext - Euronext Paris
AVOL,AVOLTA AG,Consumer Discretionary,Switzerland,USD,SIX Swiss Exchange
LATO B,LATOUR INVESTMENT CLASS B,Industrials,Sweden,USD,Nasdaq Omx Nordic
3443,GLOBAL UNICHIP CORP,Information Technology,Taiwan,USD,Taiwan Stock Exchange
ABB,ABB INDIA LTD,Industrials,India,USD,National Stock Exchange Of India
APN,ASPEN PHARMACARE LTD,Health Care,South Africa,USD,Johannesburg Stock Exchange
GETI B,GETINGE B,Health Care,Sweden,USD,Nasdaq Omx Nordic
966,CHINA TAIPING INSURANCE HLDGS LTD,Financials,China,USD,Hong Kong Exchanges And Clearing Ltd
KOFUBL,COCA-COLA FEMSA CLASS UBL UNITS,Consumer Staples,Mexico,USD,Bolsa Mexicana De Valores
AC*,ARCA CONTINENTAL,Consumer Staples,Mexico,USD,Bolsa Mexicana De Valores
3038,KOBE BUSSAN LTD,Consumer Staples,Japan,USD,Tokyo Stock Exchange
OMU,OLD MUTUAL LIMITED LTD,Financials,South Africa,USD,Johannesburg Stock Exchange
2338,WEICHAI POWER LTD H,Industrials,China,USD,Hong Kong Exchanges And Clearing Ltd
ADEN,ADECCO GROUP AG,Industrials,Switzerland,USD,SIX Swiss Exchange
TCELL.E,TURKCELL ILETISIM HIZMETLERI A,Communication,Turkey,USD,Istanbul Stock Exchange
HINDPETRO,HINDUSTAN PETROLEUM CORP LTD,Energy,India,USD,National Stock Exchange Of India
329180,HD HYUNDAI HEAVY INDUSTRIES LTD,Industrials,Korea (South),USD,Korea Exchange (Stock Market)
300059,EAST MONEY INFORMATION LTD A,Financials,China,USD,Shenzhen Stock Exchange
83,SINO LAND LTD,Real Estate,Hong Kong,USD,Hong Kong Exchanges And Clearing Ltd
DIE,DIETEREN (D) SA,Consumer Discretionary,Belgium,USD,Nyse Euronext - Euronext Brussels
151,WANT WANT CHINA HOLDINGS LTD,Consumer Staples,China,USD,Hong Kong Exchanges And Clearing Ltd
AMMN,AMMAN MINERAL INTERNASIONAL,Materials,Indonesia,USD,Indonesia Stock Exchange
601601,CHINA PACIFIC INSURANCE (GROUP) LT,Financials,China,USD,Shanghai Stock Exchange
WLK,WESTLAKE CORP,Materials,United States,USD,New York Stock Exchange Inc.
JUBLFOOD,JUBILANT FOODWORKS LTD,Consumer Discretionary,India,USD,National Stock Exchange Of India
4183,MITSUI CHEMICALS INC,Materials,Japan,USD,Tokyo Stock Exchange
WHL,WOOLWORTHS HOLDING LTD,Consumer Discretionary,South Africa,USD,Johannesburg Stock Exchange
VIVT3,TELEFONICA BRASIL SA,Communication,Brazil,USD,XBSP
MNDI,MONDI PLC,Materials,United Kingdom,USD,London Stock Exchange
2353,ACER,Information Technology,Taiwan,USD,Taiwan Stock Exchange
268,KINGDEE INT L SOFTWARE GROUP LTD,Information Technology,China,USD,Hong Kong Exchanges And Clearing Ltd
