iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"QCOM","QUALCOMM INC","Information Technology","Equity","43,980,491.52","0.23","43,980,491.52","275,982.00","159.36","United States","NASDAQ","USD","1.00","USD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","43,710,422.03","0.22","43,710,422.03","4,515,129.00","9.68","United Kingdom","London Stock Exchange","USD","0.80","GBP","Jan 01, 1998"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","43,552,718.43","0.22","43,552,718.43","1,166,076.00","37.35","Korea (South)","Korea Exchange (Stock Market)","USD","1,456.50","KRW","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","43,345,619.48","0.22","43,345,619.48","142,838.00","303.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","43,095,783.36","0.22","43,095,783.36","223,944.00","192.44","United States","NASDAQ","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","43,023,443.53","0.22","43,023,443.53","4,018,876.00","10.71","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","42,776,549.00","0.22","42,776,549.00","8,350.00","5,122.94","United States","NASDAQ","USD","1.00","USD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","42,108,973.33","0.22","42,108,973.33","348,983.00","120.66","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","41,412,014.10","0.21","41,412,014.10","502,695.00","82.38","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","41,250,909.00","0.21","41,250,909.00","1,036,455.00","39.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","40,298,685.30","0.21","40,298,685.30","1,755,934.00","22.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","39,892,916.25","0.20","39,892,916.25","79,035.00","504.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","39,690,926.32","0.20","39,690,926.32","410,842.00","96.61","Australia","Asx - All Markets","USD","1.61","AUD","-"
"BLK","BLACKROCK INC","Financials","Equity","38,724,918.96","0.20","38,724,918.96","36,712.00","1,054.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","38,439,056.11","0.20","38,439,056.11","329,017.00","116.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","38,394,355.50","0.20","38,394,355.50","302,175.00","127.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","37,617,992.44","0.19","37,617,992.44","1,406,806.00","26.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","37,068,603.00","0.19","37,068,603.00","160,644.00","230.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","36,917,103.58","0.19","36,917,103.58","506,338.00","72.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","36,883,114.80","0.19","36,883,114.80","161,132.00","228.90","United States","NASDAQ","USD","1.00","USD","-"
"SIE","SIEMENS N AG","Industrials","Equity","36,777,389.30","0.19","36,777,389.30","187,260.00","196.40","Germany","Xetra","USD","0.96","EUR","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","36,560,985.60","0.19","36,560,985.60","952,109.00","38.40","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","35,270,760.98","0.18","35,270,760.98","140,959.00","250.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","35,006,044.97","0.18","35,006,044.97","132,353.00","264.49","United States","NASDAQ","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","34,977,739.93","0.18","34,977,739.93","611,285.00","57.22","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","34,850,211.00","0.18","34,850,211.00","143,275.00","243.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","34,439,755.63","0.18","34,439,755.63","278,887.00","123.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","34,338,893.13","0.18","34,338,893.13","203,949.00","168.37","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","34,233,439.25","0.18","34,233,439.25","149,003.00","229.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","33,851,054.02","0.17","33,851,054.02","99,113.00","341.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","33,714,569.35","0.17","33,714,569.35","370,205.00","91.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","33,496,948.00","0.17","33,496,948.00","471,788.00","71.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","33,314,499.88","0.17","33,314,499.88","300,384.00","110.91","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","33,161,165.53","0.17","33,161,165.53","133,064.00","249.21","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"BA","BOEING","Industrials","Equity","32,322,806.88","0.17","32,322,806.88","180,232.00","179.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","32,242,173.64","0.17","32,242,173.64","1,538,200.00","20.96","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"SYK","STRYKER CORP","Health Care","Equity","31,670,173.70","0.16","31,670,173.70","85,415.00","370.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","31,438,391.40","0.16","31,438,391.40","323,740.00","97.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","31,130,372.44","0.16","31,130,372.44","2,709,100.00","11.49","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"BX","BLACKSTONE INC","Financials","Equity","30,988,729.27","0.16","30,988,729.27","176,383.00","175.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHP","BHP GROUP LTD","Materials","Equity","30,826,697.40","0.16","30,826,697.40","1,245,833.00","24.74","Australia","Asx - All Markets","USD","1.61","AUD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","30,535,367.28","0.16","30,535,367.28","161,128.00","189.51","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","30,394,173.60","0.16","30,394,173.60","265,104.00","114.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","30,302,597.65","0.16","30,302,597.65","144,677.00","209.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","29,923,190.10","0.15","29,923,190.10","100,935.00","296.46","United States","NASDAQ","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","29,586,559.56","0.15","29,586,559.56","96,768.00","305.75","Germany","Xetra","USD","0.96","EUR","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","29,560,303.20","0.15","29,560,303.20","394,980.00","74.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","29,407,662.89","0.15","29,407,662.89","1,393,454.00","21.10","India","National Stock Exchange Of India","USD","85.20","INR","-"
